Node,AlgoValue,MCValue(1million),Diff,MCValue(100thousand),Diff,MCValue(10thousand),Diff
738,0.86751,0.867875,0.000365,0.8989,0.0011,0.8487,0.003538588
322,0.855471225,0.855836,0.000364775,0.8989,0.0011,0.7007,0.003537371
423,0.86751,0.867146,0.000364,0.85784,0.001099954,0.8581,0.003521825
50,0.850385895,0.850749,0.000363105,0.8523,0.001099629,0.8475,0.00351991
26,0.852945411,0.852584,0.000361411,0.89273,0.0010969,0.6803,0.003517583
735,0.86751,0.867871,0.000361,0.86251,0.001096462,0.8522,0.003515424
549,0.559270389,0.559631,0.000360611,0.85483,0.001094422,0.8579,0.003513538
502,0.86751,0.86787,0.00036,0.89891,0.00109,0.864,0.00351
1034,0.830535504,0.830177,0.000358504,0.86142,0.001089789,0.864,0.003508578
609,0.855471225,0.855113,0.000358225,0.69256,0.001089629,0.8965,0.0035
782,0.865408493,0.865051,0.000357493,0.54202,0.001088252,0.7325,0.0035
14,0.851586335,0.851943,0.000356665,0.85463,0.001085424,0.9035,0.0035
520,0.830535504,0.830892,0.000356496,0.69355,0.001082284,0.9035,0.0035
542,0.690457271,0.690101,0.000356271,0.86054,0.001081825,0.8572,0.003494604
160,0.866391247,0.866746,0.000354753,0.68637,0.001081563,0.866,0.003490211
273,0.9,0.899648,0.000352,0.86643,0.00108,0.8453,0.003475546
1020,0.853399629,0.85375,0.000350371,0.89892,0.00108,0.852,0.003471225
410,0.9,0.89965,0.00035,0.86643,0.00108,0.8652,0.003459743
566,0.854602137,0.854952,0.000349863,0.86859,0.00108,0.8652,0.003459743
890,0.862509789,0.86216,0.000349789,0.85367,0.001078207,0.6863,0.003452031
343,0.82440225,0.824752,0.00034975,0.8627,0.001078175,0.6932,0.003447969
787,0.9,0.899651,0.000349,0.89275,0.0010769,0.8179,0.003444366
993,0.861621825,0.86197,0.000348175,0.85962,0.001074604,0.6907,0.003440586
373,0.856740046,0.856393,0.000347046,0.6942,0.001070506,0.6945,0.003413679
671,0.866391247,0.866738,0.000346753,0.85447,0.001070371,0.6881,0.003408783
950,0.9,0.899654,0.000346,0.90107,0.00107,0.862,0.003408493
859,0.853298513,0.853644,0.000345487,0.90107,0.00107,0.862,0.003408493
571,0.851985077,0.85233,0.000344923,0.89893,0.00107,0.8639,0.0034048
