Node,AlgoValue,ExactValue,AbsDiff,PercError
282,0.43046721000000016,0.43046721000000016,0.0,0.0
283,0.47829690000000014,0.47829690000000014,0.0,0.0
284,0.5314410000000002,0.5314410000000002,0.0,0.0
285,0.5904900000000002,0.5904900000000002,0.0,0.0
286,0.5904900000000002,0.5904900000000002,0.0,0.0
287,0.8081204039100003,0.8081204039100003,0.0,0.0
288,0.6561000000000001,0.6561000000000001,0.0,0.0
289,0.7290000000000001,0.7290000000000001,0.0,0.0
290,0.6561000000000001,0.6561000000000001,0.0,0.0
291,0.5904900000000002,0.5904900000000002,0.0,0.0
293,0.43046721000000016,0.43046721000000016,0.0,0.0
294,0.6079153599000001,0.6079153599000001,0.0,0.0
295,0.5691733110000001,0.5691733110000001,0.0,0.0
296,0.47829690000000014,0.47829690000000014,0.0,0.0
297,0.7603808622409252,0.7603808622409252,0.0,0.0
300,0.41492734371900014,0.41492734371900014,0.0,0.0
301,0.5433515058734679,0.5433515058734679,0.0,0.0
302,0.5904900000000002,0.5904900000000002,0.0,0.0
303,0.6804153701148161,0.6804153701148161,0.0,0.0
306,0.5314410000000002,0.5314410000000002,0.0,0.0
